Number,Meaning,DrawDate,DrawID,PrizeType,PrizeDesc,PrizeDescZh
0000,Crabs And Prawns,03/08/2005,093/05,S,SPECIAL PRIZE,特别奖
0000,Crabs And Prawns,04/08/2007,099/07,S,SPECIAL PRIZE,特别奖
0000,Crabs And Prawns,05/11/1994,133/94,C,CONSOLATION PRIZE,安慰奖
0000,Crabs And Prawns,06/12/2003,146/03,C,CONSOLATION PRIZE,安慰奖
0000,Crabs And Prawns,07/05/2016,640/16,C,CONSOLATION PRIZE,安慰奖
0000,Crabs And Prawns,08/03/1995,029/95,S,SPECIAL PRIZE,特别奖
0000,Crabs And Prawns,08/04/2017,807/17,C,CONSOLATION PRIZE,安慰奖
0000,Crabs And Prawns,09/10/1996,121/96,S,SPECIAL PRIZE,特别奖
0000,Crabs And Prawns,10/11/1990,135/90,C,CONSOLATION PRIZE,安慰奖
0000,Crabs And Prawns,12/08/1993,096/93,S,SPECIAL PRIZE,特别奖
0000,Crabs And Prawns,14/08/1986,097/86,C,CONSOLATION PRIZE,安慰奖
0000,Crabs And Prawns,15/02/2009,351/09,S,SPECIAL PRIZE,特别奖
0000,Crabs And Prawns,18/05/1989,059/89,C,CONSOLATION PRIZE,安慰奖
0000,Crabs And Prawns,19/11/1990,139/90,C,CONSOLATION PRIZE,安慰奖
0000,Crabs And Prawns,20/04/1996,047/96,C,CONSOLATION PRIZE,安慰奖
0000,Crabs And Prawns,21/04/1999,048/99,S,SPECIAL PRIZE,特别奖
0000,Crabs And Prawns,21/10/2000,127/00,S,SPECIAL PRIZE,特别奖
0000,Crabs And Prawns,23/11/2013,196/13,S,SPECIAL PRIZE,特别奖
0000,Crabs And Prawns,24/03/2019,160/19,S,SPECIAL PRIZE,特别奖
0000,Crabs And Prawns,25/03/1991,036/91,S,SPECIAL PRIZE,特别奖
0000,Crabs And Prawns,27/12/1987,156/87,S,SPECIAL PRIZE,特别奖
0001,Father Passed Away,02/07/2017,847/17,C,CONSOLATION PRIZE,安慰奖
0001,Father Passed Away,04/02/2020,306/20,C,CONSOLATION PRIZE,安慰奖
0001,Father Passed Away,04/12/2012,024/12,C,CONSOLATION PRIZE,安慰奖
0001,Father Passed Away,08/03/2026,338/26,2,2ND PRIZE,二奖
0001,Father Passed Away,08/08/1994,095/94,S,SPECIAL PRIZE,特别奖
0001,Father Passed Away,09/04/2022,679/22,C,CONSOLATION PRIZE,安慰奖
0001,Father Passed Away,11/11/2015,548/15,C,CONSOLATION PRIZE,安慰奖
0001,Father Passed Away,12/05/1996,057/96,S,SPECIAL PRIZE,特别奖
0001,Father Passed Away,12/12/1988,149/88,C,CONSOLATION PRIZE,安慰奖
0001,Father Passed Away,16/03/2011,718/11,S,SPECIAL PRIZE,特别奖
0001,Father Passed Away,17/02/2019,144/19,C,CONSOLATION PRIZE,安慰奖
0001,Father Passed Away,18/05/2014,285/14,C,CONSOLATION PRIZE,安慰奖
0001,Father Passed Away,27/04/1996,050/96,C,CONSOLATION PRIZE,安慰奖
0001,Father Passed Away,28/09/2021,586/21,C,CONSOLATION PRIZE,安慰奖
0001,Father Passed Away,29/01/1997,013/97,C,CONSOLATION PRIZE,安慰奖
0002,Police Taking Bribe,03/04/2013,085/13,C,CONSOLATION PRIZE,安慰奖
0002,Police Taking Bribe,04/12/1994,146/94,S,SPECIAL PRIZE,特别奖
0002,Police Taking Bribe,05/08/2007,100/07,C,CONSOLATION PRIZE,安慰奖
0002,Police Taking Bribe,06/05/2009,387/09,C,CONSOLATION PRIZE,安慰奖
0002,Police Taking Bribe,06/08/1995,094/95,S,SPECIAL PRIZE,特别奖
0002,Police Taking Bribe,08/07/2023,897/23,C,CONSOLATION PRIZE,安慰奖
0002,Police Taking Bribe,09/09/2007,117/07,C,CONSOLATION PRIZE,安慰奖
0002,Police Taking Bribe,12/10/2014,355/14,S,SPECIAL PRIZE,特别奖
0002,Police Taking Bribe,14/12/2024,133/24,C,CONSOLATION PRIZE,安慰奖
0002,Police Taking Bribe,17/11/2001,137/01,S,SPECIAL PRIZE,特别奖
0002,Police Taking Bribe,20/03/2013,077/13,C,CONSOLATION PRIZE,安慰奖
0002,Police Taking Bribe,20/04/1997,048/97,S,SPECIAL PRIZE,特别奖
0002,Police Taking Bribe,23/06/2010,589/10,1,1ST PRIZE,首奖
0002,Police Taking Bribe,24/07/2022,729/22,S,SPECIAL PRIZE,特别奖
0002,Police Taking Bribe,31/12/2003,157/03,S,SPECIAL PRIZE,特别奖
0003,Snakes Fighting,01/04/1991,039/91,C,CONSOLATION PRIZE,安慰奖
0003,Snakes Fighting,02/04/2005,040/05,S,SPECIAL PRIZE,特别奖
0003,Snakes Fighting,06/12/2003,146/03,S,SPECIAL PRIZE,特别奖
0003,Snakes Fighting,06/12/2009,492/09,S,SPECIAL PRIZE,特别奖
0003,Snakes Fighting,09/09/1998,108/98,C,CONSOLATION PRIZE,安慰奖
0003,Snakes Fighting,13/03/2016,612/16,S,SPECIAL PRIZE,特别奖
0003,Snakes Fighting,14/10/2017,900/17,C,CONSOLATION PRIZE,安慰奖
0003,Snakes Fighting,16/02/2008,189/08,C,CONSOLATION PRIZE,安慰奖
0003,Snakes Fighting,19/08/1989,099/89,S,SPECIAL PRIZE,特别奖
0003,Snakes Fighting,20/04/2019,172/19,2,2ND PRIZE,二奖
0003,Snakes Fighting,28/04/2007,054/07,2,2ND PRIZE,二奖
0003,Snakes Fighting,30/04/1988,052/88,2,2ND PRIZE,二奖
0004,F1 Driver,03/04/2012,904/12,C,CONSOLATION PRIZE,安慰奖
0004,F1 Driver,04/06/1988,067/88,2,2ND PRIZE,二奖
0004,F1 Driver,06/05/2001,054/01,C,CONSOLATION PRIZE,安慰奖
0004,F1 Driver,07/05/2005,055/05,3,3RD PRIZE,三奖
0004,F1 Driver,08/08/2018,049/18,2,2ND PRIZE,二奖
0004,F1 Driver,08/09/1996,108/96,C,CONSOLATION PRIZE,安慰奖
0004,F1 Driver,10/03/1990,030/90,C,CONSOLATION PRIZE,安慰奖
0004,F1 Driver,10/10/1987,122/87,S,SPECIAL PRIZE,特别奖
0004,F1 Driver,12/08/1995,096/95,3,3RD PRIZE,三奖
0004,F1 Driver,14/01/2026,312/26,C,CONSOLATION PRIZE,安慰奖
0004,F1 Driver,14/10/2017,900/17,2,2ND PRIZE,二奖
0004,F1 Driver,22/08/1994,101/94,C,CONSOLATION PRIZE,安慰奖
0004,F1 Driver,23/04/1994,049/94,S,SPECIAL PRIZE,特别奖
0004,F1 Driver,24/08/2011,794/11,C,CONSOLATION PRIZE,安慰奖
0004,F1 Driver,25/08/2001,101/01,C,CONSOLATION PRIZE,安慰奖
0004,F1 Driver,25/12/1993,154/93,S,SPECIAL PRIZE,特别奖
0004,F1 Driver,30/01/2018,953/18,C,CONSOLATION PRIZE,安慰奖
0005,Global Positioning System (GPS),01/03/2000,027/00,S,SPECIAL PRIZE,特别奖
0005,Global Positioning System (GPS),01/11/2025,279/25,1,1ST PRIZE,首奖
0005,Global Positioning System (GPS),06/06/1987,068/87,S,SPECIAL PRIZE,特别奖
0005,Global Positioning System (GPS),07/12/2011,846/11,S,SPECIAL PRIZE,特别奖
0005,Global Positioning System (GPS),08/02/1992,017/92,S,SPECIAL PRIZE,特别奖
0005,Global Positioning System (GPS),09/05/2010,569/10,C,CONSOLATION PRIZE,安慰奖
0005,Global Positioning System (GPS),10/11/2002,135/02,S,SPECIAL PRIZE,特别奖
0005,Global Positioning System (GPS),11/02/2004,018/04,C,CONSOLATION PRIZE,安慰奖
0005,Global Positioning System (GPS),12/09/1999,110/99,C,CONSOLATION PRIZE,安慰奖
0005,Global Positioning System (GPS),21/10/2007,135/07,3,3RD PRIZE,三奖
0005,Global Positioning System (GPS),23/12/2020,451/20,S,SPECIAL PRIZE,特别奖
0005,Global Positioning System (GPS),25/03/2015,436/15,C,CONSOLATION PRIZE,安慰奖
0005,Global Positioning System (GPS),26/12/1992,155/92,S,SPECIAL PRIZE,特别奖
0005,Global Positioning System (GPS),27/08/2011,795/11,C,CONSOLATION PRIZE,安慰奖
0006,Cake Mixer,01/05/2016,637/16,S,SPECIAL PRIZE,特别奖
0006,Cake Mixer,07/07/2001,080/01,C,CONSOLATION PRIZE,安慰奖
0006,Cake Mixer,07/12/1997,147/97,3,3RD PRIZE,三奖
0006,Cake Mixer,09/03/1991,029/91,C,CONSOLATION PRIZE,安慰奖
0006,Cake Mixer,12/06/1996,070/96,S,SPECIAL PRIZE,特别奖
0006,Cake Mixer,15/03/2014,253/14,C,CONSOLATION PRIZE,安慰奖
0006,Cake Mixer,20/03/2022,670/22,C,CONSOLATION PRIZE,安慰奖
0006,Cake Mixer,21/08/2011,793/11,1,1ST PRIZE,首奖
0006,Cake Mixer,24/04/1986,049/86,C,CONSOLATION PRIZE,安慰奖
0006,Cake Mixer,24/09/1988,115/88,C,CONSOLATION PRIZE,安慰奖
0006,Cake Mixer,30/10/2002,130/02,S,SPECIAL PRIZE,特别奖
0007,Punch Bag,01/07/2000,079/00,S,SPECIAL PRIZE,特别奖
0007,Punch Bag,01/10/2019,247/19,C,CONSOLATION PRIZE,安慰奖
0007,Punch Bag,09/07/2005,082/05,C,CONSOLATION PRIZE,安慰奖
0007,Punch Bag,19/10/2016,719/16,S,SPECIAL PRIZE,特别奖
0007,Punch Bag,23/11/2014,375/14,S,SPECIAL PRIZE,特别奖
0007,Punch Bag,24/06/1991,075/91,S,SPECIAL PRIZE,特别奖
0007,Punch Bag,25/10/2009,471/09,S,SPECIAL PRIZE,特别奖
0007,Punch Bag,26/12/2004,155/04,C,CONSOLATION PRIZE,安慰奖
0007,Punch Bag,30/10/2004,130/04,S,SPECIAL PRIZE,特别奖
0008,Keyhole,01/01/1995,001/95,S,SPECIAL PRIZE,特别奖
0008,Keyhole,05/03/2017,790/17,S,SPECIAL PRIZE,特别奖
0008,Keyhole,08/02/2023,830/23,S,SPECIAL PRIZE,特别奖
0008,Keyhole,09/05/1998,055/98,S,SPECIAL PRIZE,特别奖
0008,Keyhole,12/10/1996,122/96,S,SPECIAL PRIZE,特别奖
0008,Keyhole,14/09/1992,111/92,C,CONSOLATION PRIZE,安慰奖
0008,Keyhole,16/07/2017,854/17,S,SPECIAL PRIZE,特别奖
0008,Keyhole,22/10/1990,127/90,C,CONSOLATION PRIZE,安慰奖
0008,Keyhole,24/03/2012,899/12,S,SPECIAL PRIZE,特别奖
0008,Keyhole,28/10/2000,130/00,S,SPECIAL PRIZE,特别奖
0008,Keyhole,29/07/2023,906/23,C,CONSOLATION PRIZE,安慰奖
0008,Keyhole,30/01/1993,013/93,S,SPECIAL PRIZE,特别奖
0008,Keyhole,30/07/2022,732/22,C,CONSOLATION PRIZE,安慰奖
0009,Stealing Jewellery,02/12/2023,962/23,C,CONSOLATION PRIZE,安慰奖
0009,Stealing Jewellery,08/01/1997,004/97,S,SPECIAL PRIZE,特别奖
0009,Stealing Jewellery,14/12/1997,150/97,C,CONSOLATION PRIZE,安慰奖
0009,Stealing Jewellery,14/12/2014,386/14,C,CONSOLATION PRIZE,安慰奖
0009,Stealing Jewellery,15/03/1990,032/90,S,SPECIAL PRIZE,特别奖
0009,Stealing Jewellery,18/01/2009,337/09,C,CONSOLATION PRIZE,安慰奖
0009,Stealing Jewellery,26/10/1996,128/96,1,1ST PRIZE,首奖
0010,Indonesian Girl,01/02/2003,014/03,S,SPECIAL PRIZE,特别奖
0010,Indonesian Girl,04/03/1991,027/91,S,SPECIAL PRIZE,特别奖
0010,Indonesian Girl,06/10/1990,120/90,C,CONSOLATION PRIZE,安慰奖
0010,Indonesian Girl,12/06/2019,195/19,C,CONSOLATION PRIZE,安慰奖
